section,indicator,class_label,count
一、主动公开（40%）,公共企事业单位信息公开,DISCOVERY_TIMELINESS,1
一、主动公开（40%）,公共资源配置信息公开,EXISTENCE_STRUCTURE,6
一、主动公开（40%）,决策公开,DISCOVERY_TIMELINESS,2
一、主动公开（40%）,决策公开,EXISTENCE_STRUCTURE,2
一、主动公开（40%）,决策公开,QUALITY_ELEMENTS,1
一、主动公开（40%）,制度公开,DISCOVERY_TIMELINESS,2
一、主动公开（40%）,制度公开,EXISTENCE_STRUCTURE,2
一、主动公开（40%）,制度公开,NOT_ASSESSABLE,2
一、主动公开（40%）,社会公益事业建设信息公开,DISCOVERY_TIMELINESS,2
一、主动公开（40%）,社会公益事业建设信息公开,EXISTENCE_STRUCTURE,7
一、主动公开（40%）,部署执行结果公开,DISCOVERY_TIMELINESS,1
一、主动公开（40%）,部署执行结果公开,EXISTENCE_STRUCTURE,7
一、主动公开（40%）,重大建设项目批准和实施信息公开,EXISTENCE_STRUCTURE,8
三、政策解读与政民互动（15%）,政民互动,DISCOVERY_TIMELINESS,3
三、政策解读与政民互动（15%）,政策解读,QUALITY_ELEMENTS,4
二、依申请公开（25%）,依申请公开答复规范,EXISTENCE_STRUCTURE,2
二、依申请公开（25%）,依申请公开答复规范,NOT_ASSESSABLE,2
二、依申请公开（25%）,协同办理,NOT_ASSESSABLE,1
二、依申请公开（25%）,申请渠道畅通,DISCOVERY_TIMELINESS,1
二、依申请公开（25%）,申请渠道畅通,EXISTENCE_STRUCTURE,1
五、创新引领（10%）,政府信息公开标准化国家级试点成果运用,DISCOVERY_TIMELINESS,3
四、平台建设（10%）,政务新媒体,EXISTENCE_STRUCTURE,1
四、平台建设（10%）,政务新媒体,NOT_ASSESSABLE,1
四、平台建设（10%）,政府网站,DISCOVERY_TIMELINESS,4
四、平台建设（10%）,政府网站,EXISTENCE_STRUCTURE,1
